amostra_id,atividade_id,troco_id,zona_ordem,valor,variavel,limite_inferior,limite_superior,razao
23161986328_98_Z5,23161986328,98,5,763.6655948553021,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_99_Z5,23161986328,99,5,921.2898057280306,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_100_Z5,23161986328,100,5,961.1533840608632,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_101_Z5,23161986328,101,5,957.136912193102,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_102_Z5,23161986328,102,5,1074.8243075651071,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_103_Z5,23161986328,103,5,1093.9112487100144,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_104_Z5,23161986328,104,5,1170.5301813174524,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_105_Z5,23161986328,105,5,1278.583722645711,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_107_Z4,23161986328,107,4,905.9233449477314,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_127_Z3,23161986328,127,3,758.8187038556159,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_147_Z5,23161986328,147,5,748.6847430190195,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_152_Z4,23161986328,152,4,757.5757575757598,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
