troco_id,distancia_inicio_m,distancia_fim_m,comprimento_troco_m,altitude_inicio_m,altitude_fim_m,altitude_media_m,altitude_normalizada,declive_pct,distancia_inicio_km,subida_acumulada_m,zona_ordem,zona_limite_inferior_bpm,zona_limite_superior_bpm,zona_aberta,ritmo_previsto_s_km,previsao_valida,pouco_suporte,n_amostras_suporte,n_atividades_suporte,ritmo_previsto_mmss_km,tempo_troco_previsto_s
81,4050.0,4100.0,50.0,249.3419533799534,250.23662447257385,249.7917006973336,0.24979170069733359,1.789342185240912,4.05,58.27209653879231,4,165,185,0,381.45727955860497,True,False,195,13,06:21/km,19.072863977930247
82,4100.0,4150.0,50.0,250.23662447257385,251.4,250.79220815752464,0.2507922081575246,2.326751054852309,4.1,59.435472066218466,4,165,185,0,397.51854753512794,True,False,206,14,06:38/km,19.875927376756398
83,4150.0,4200.0,50.0,251.4,252.44573770491803,251.95715846994537,0.2519571584699454,2.0914754098360504,4.15,60.48120977113649,4,165,185,0,386.66309886361444,True,False,197,13,06:27/km,19.333154943180723
84,4200.0,4250.0,50.0,252.44573770491803,252.95274044471506,252.72616822544197,0.25272616822544197,1.0140054795940614,4.2,60.98821251093352,4,165,185,0,374.75157144477276,True,False,192,13,06:15/km,18.73757857223864
85,4250.0,4300.0,50.0,252.95274044471506,253.0,253.00848478757908,0.2530084847875791,0.09451911056987683,4.25,61.03547206621846,4,165,185,0,374.75157144477276,True,False,192,13,06:15/km,18.73757857223864
86,4300.0,4350.0,50.0,253.0,252.67633233248839,252.85346657238392,0.25285346657238394,-0.6473353350232287,4.3,61.03547206621846,4,165,185,0,374.75157144477276,True,False,169,14,06:15/km,18.73757857223864
87,4350.0,4400.0,50.0,252.67633233248839,252.48000000000002,252.56286576010447,0.25256286576010445,-0.3926646649767349,4.35,61.03547206621846,4,165,185,0,374.75157144477276,True,False,180,13,06:15/km,18.73757857223864
88,4400.0,4450.0,50.0,252.48000000000002,252.72458204334367,252.5689576883385,0.2525689576883385,0.4891640866873104,4.4,61.280054109562116,4,165,185,0,374.75157144477276,True,False,196,13,06:15/km,18.73757857223864
89,4450.0,4500.0,50.0,252.72458204334367,254.17833149799972,253.3325618462509,0.2533325618462509,2.907498909312096,4.45,62.733803564218164,4,165,185,0,397.51854753512794,True,False,201,14,06:38/km,19.875927376756398
90,4500.0,4550.0,50.0,254.17833149799972,256.85881284334425,255.48173195724817,0.25548173195724816,5.360962690689064,4.5,65.4142849095627,4,165,185,0,429.78589025071653,True,False,155,15,07:10/km,21.489294512535828
91,4550.0,4600.0,50.0,256.85881284334425,259.69081006775724,258.3018544864307,0.2583018544864307,5.663994448825974,4.55,68.24628213397568,4,165,185,0,458.2063220253468,True,False,146,16,07:38/km,22.91031610126734
92,4600.0,4650.0,50.0,259.69081006775724,262.3911423499763,261.00098999052284,0.26100098999052285,5.400664564438102,4.6,70.94661441619473,4,165,185,0,457.72328232053064,True,False,156,16,07:38/km,22.88616411602653
93,4650.0,4700.0,50.0,262.3911423499763,265.45435807500655,263.9159838971287,0.26391598389712867,6.126431450060522,4.65,74.009830141225,4,165,185,0,484.45374144635537,True,False,134,16,08:04/km,24.22268707231777
94,4700.0,4750.0,50.0,265.45435807500655,268.4583166246649,267.0031997273741,0.26700319972737413,6.007917099316728,4.7,77.01378869088336,4,165,185,0,466.75470434827116,True,False,135,16,07:47/km,23.33773521741356
95,4750.0,4800.0,50.0,268.4583166246649,270.49558232931724,269.537392516563,0.269537392516563,4.0745314093046545,4.75,79.05105439553569,4,165,185,0,444.1727370069427,True,False,169,15,07:24/km,22.208636850347133
